the	44582372
of	26726725
and	18385867
in	17097233
a	13439716
to	12315892
was	5896670
is	5520523
for	5485924
on	5023741
as	4898013
by	4500928
title	4309050
with	4288213
s	3641235
from	3593424
that	3483366
cite	3421374
at	3084849
category	3075735
date	2977613
url	2919857
first	2916415
it	2580493
his	2496988
he	2491419
an	2376776
publisher	2265758
accessdate	2221343
were	2133306
new	2073118
or	2068947
are	2024398
web	1961370
last	1890195
which	1826168
be	1809822
this	1802425
align	1754291
united	1620994
also	1587436
year	1528018
states	1436012
name	1429631
had	1397577
not	1358506
one	1308999
c	1304693
has	1274269
style	1238878
center	1216700
p	1213639
i	1199016
american	1160948
but	1153740
may	1140406
their	1124109
have	1116877
jpg	1110918
its	1108060
nbsp	1104717
other	1103781
after	1086522
county	1079589
image	1079034
who	1067707
m	1047258
city	1028827
all	1021303
work	1016292
f	1014272
no	988159
th	982718
two	982026
area	975718
they	966516
time	939589
d	937835
file	927257
book	901767
n	899511
right	895577
state	893178
there	887396
population	883844
journal	883109
world	878805
u	878279
news	873615
university	871286
been	855473
e	854564
author	848293
census	843106
years	838984
left	833692
people	810111
more	803612
de	799130
when	797324
